[ORDER] SELL | Company: Roche Holding AG (ROG.SW) | Price: 494.962 | Quantity: 28
[ORDER] BUY | Company: Commonwealth Bank of Australia (CBA.AX) | Price: 361.92 | Quantity: 37
[ORDER] BUY | Company: Unilever plc (ULVR.L) | Price: 296.478 | Quantity: 47
[ORDER] SELL | Company: Canadian National Railway Co. (CNR.TO) | Price: 807.974 | Quantity: 19
[ORDER] SELL | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 338.464 | Quantity: 35
[ORDER] SELL | Company: Tata Consultancy Services (TCS.NS) | Price: 743.054 | Quantity: 34
[ORDER] SELL | Company: Toyota Motor Corp. (7203.T) | Price: 656.332 | Quantity: 15
[ORDER] BUY | Company: NVIDIA Corp. (NVDA) | Price: 243.241 | Quantity: 48
[ORDER] BUY | Company: Roche Holding AG (ROG.SW) | Price: 244.921 | Quantity: 29
[ORDER] BUY | Company: Infosys Ltd. (INFY.NS) | Price: 800.55 | Quantity: 9
[ORDER] BUY | Company: Roche Holding AG (ROG.SW) | Price: 48.6794 | Quantity: 7
[ORDER] SELL | Company: Exxon Mobil Corp. (XOM) | Price: 174.284 | Quantity: 32
[ORDER] SELL | Company: Sony Group Corp. (6758.T) | Price: 918.519 | Quantity: 35
[ORDER] BUY | Company: BP plc (BP.L) | Price: 218.042 | Quantity: 40
[ORDER] SELL | Company: TotalEnergies SE (TTE.PA) | Price: 854.645 | Quantity: 47
[ORDER] BUY | Company: Johnson & Johnson (JNJ) | Price: 837.102 | Quantity: 49
[ORDER] SELL | Company: Tesla Inc. (TSLA) | Price: 928.571 | Quantity: 48
[ORDER] BUY | Company: Exxon Mobil Corp. (XOM) | Price: 484.533 | Quantity: 48
[ORDER] SELL | Company: Visa Inc. (V) | Price: 807.073 | Quantity: 24
[ORDER] BUY | Company: Shell plc (SHEL.L) | Price: 34.2487 | Quantity: 45
[ORDER] BUY | Company: Sony Group Corp. (6758.T) | Price: 602.201 | Quantity: 30
[ORDER] SELL | Company: Unilever plc (ULVR.L) | Price: 559.122 | Quantity: 28
[ORDER] SELL | Company: Shell plc (SHEL.L) | Price: 714.717 | Quantity: 32
[ORDER] BUY | Company: SAP SE (SAP.DE) | Price: 748.3 | Quantity: 24
[ORDER] SELL | Company: Procter & Gamble Co. (PG) | Price: 528.546 | Quantity: 44
[ORDER] SELL | Company: Nestlé S.A. (NESN.SW) | Price: 532.906 | Quantity: 43
[ORDER] SELL | Company: Commonwealth Bank of Australia (CBA.AX) | Price: 428.202 | Quantity: 6
[ORDER] BUY | Company: Commonwealth Bank of Australia (CBA.AX) | Price: 190.355 | Quantity: 24
[ORDER] SELL | Company: JPMorgan Chase & Co. (JPM) | Price: 413.791 | Quantity: 32
[ORDER] SELL | Company: Alphabet Inc. (GOOGL) | Price: 934.928 | Quantity: 6
[ORDER] BUY | Company: Alphabet Inc. (GOOGL) | Price: 915.216 | Quantity: 8
[ORDER] BUY | Company: Alphabet Inc. (GOOGL) | Price: 323.354 | Quantity: 8
[ORDER] SELL | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 468.939 | Quantity: 44
[ORDER] BUY | Company: Samsung Electronics (005930.KQ) | Price: 528.194 | Quantity: 49
[ORDER] SELL | Company: Toyota Motor Corp. (7203.T) | Price: 251.112 | Quantity: 31
[ORDER] BUY | Company: BP plc (BP.L) | Price: 180.23 | Quantity: 47
[ORDER] BUY | Company: SAP SE (SAP.DE) | Price: 522.75 | Quantity: 49
[ORDER] BUY | Company: Bank of Montreal (BMO.TO) | Price: 57.3506 | Quantity: 17
[ORDER] BUY | Company: Shell plc (SHEL.L) | Price: 751.218 | Quantity: 44
[ORDER] SELL | Company: SAP SE (SAP.DE) | Price: 928.528 | Quantity: 12
[ORDER] BUY | Company: Canadian National Railway Co. (CNR.TO) | Price: 749.398 | Quantity: 41
[ORDER] BUY | Company: Berkshire Hathaway Inc. (BRK.A) | Price: 540.819 | Quantity: 18
[ORDER] SELL | Company: Reliance Industries Ltd. (RELIANCE.NS) | Price: 244.274 | Quantity: 20
[ORDER] SELL | Company: Unilever plc (ULVR.L) | Price: 176.544 | Quantity: 44
[ORDER] SELL | Company: Visa Inc. (V) | Price: 420.75 | Quantity: 18
[ORDER] BUY | Company: BP plc (BP.L) | Price: 324.978 | Quantity: 3
